"company_id","tenure_days","is_new_customer","is_mature_customer","days_to_contract_end","contract_expiring_soon","baseline_type","baseline_weekly_avg","max_weekly_activity","activities_w_1","activities_w_2","activities_w_3","activities_w_4","total_4weeks","avg_weekly_4weeks","week_1_vs_2_change","week_2_vs_3_change","week_3_vs_4_change","activity_correlation","current_vs_baseline_ratio","current_vs_max_ratio","weeks_with_activity","weeks_with_zero_activity","consecutive_zero_weeks","activity_consistency","total_activities","activities_last_30d","activities_last_7d","activities_last_3d","unique_tasks_30d","unique_days_active_30d","unique_days_active_7d","days_since_last_activity","activities_per_day_30d","activities_per_active_day_30d","strong_decline","moderate_decline","stable_trend","growing_trend","no_recent_activity","sporadic_user","inactive_user","dormant_user","below_baseline","well_below_max","highly_inconsistent","zero_activity_period","churn_probability","health_score","risk_level"
128523,801,0,1,23,1,"weeks_5-12",0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5530,0,0,0,0,0,0,326,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.968,3.2,"Critical Risk"
125412,902,0,1,1,1,"weeks_5-12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,855,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.968,3.2,"Critical Risk"
123218,996,0,1,112,0,"weeks_5-12",1.875,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,802,0,0,0,0,0,0,39,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.966,3.4,"Critical Risk"
137125,536,0,1,11,1,"weeks_5-12",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,370,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.966,3.4,"Critical Risk"
6861,1391,0,1,29,1,"weeks_5-12",0.375,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1407,0,0,0,0,0,0,45,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.966,3.4,"Critical Risk"
143678,383,0,1,360,0,"weeks_5-12",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,92,0,0,0,0,0,0,226,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.964,3.6,"Critical Risk"
129638,762,0,1,30,1,"weeks_5-12",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,48,0,0,0,0,0,0,747,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.964,3.6,"Critical Risk"
122317,1014,0,1,21,1,"weeks_5-12",0.625,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,371,0,0,0,0,0,0,46,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.962,3.8,"Critical Risk"
5495,1522,0,1,30,1,"weeks_5-12",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,550,0,0,0,0,0,0,1200,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.962,3.8,"Critical Risk"
142575,416,0,1,338,0,"weeks_5-12",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,232,0,0,0,0,0,0,296,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.96,4,"Critical Risk"
136434,552,0,1,13,1,"weeks_5-12",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,137,0,0,0,0,0,0,364,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.96,4,"Critical Risk"
130057,747,0,1,14,1,"weeks_5-12",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,740,0,0,0,0,0,0,542,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.96,4,"Critical Risk"
141707,442,0,1,20,1,"weeks_5-12",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,443,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.96,4,"Critical Risk"
6200,1456,0,1,1,1,"weeks_5-12",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,367,0,0,0,0,0,0,445,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.96,4,"Critical Risk"
142918,405,0,1,336,0,"weeks_5-12",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,62,0,0,0,0,0,0,391,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.958,4.2,"Critical Risk"
132583,678,0,1,9,1,"weeks_5-12",0.875,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,35,0,0,0,0,0,0,58,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.958,4.2,"Critical Risk"
2582,1849,0,1,23,1,"weeks_5-12",0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4758,0,0,0,0,0,0,234,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.958,4.2,"Critical Risk"
128175,816,0,1,25,1,"weeks_5-12",0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1251,0,0,0,0,0,0,304,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.958,4.2,"Critical Risk"
5798,1493,0,1,7,1,"weeks_5-12",0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,187,0,0,0,0,0,0,292,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.954,4.6,"Critical Risk"
