company_id,tenure_days,is_new_customer,is_mature_customer,days_to_contract_end,contract_expiring_soon,baseline_type,baseline_weekly_avg,max_weekly_activity,activities_w_1,activities_w_2,activities_w_3,activities_w_4,total_4weeks,avg_weekly_4weeks,week_1_vs_2_change,week_2_vs_3_change,week_3_vs_4_change,activity_correlation,current_vs_baseline_ratio,current_vs_max_ratio,weeks_with_activity,weeks_with_zero_activity,consecutive_zero_weeks,activity_consistency,total_activities,activities_last_30d,activities_last_7d,activities_last_3d,unique_tasks_30d,unique_days_active_30d,unique_days_active_7d,days_since_last_activity,activities_per_day_30d,activities_per_active_day_30d,strong_decline,moderate_decline,stable_trend,growing_trend,no_recent_activity,sporadic_user,inactive_user,dormant_user,below_baseline,well_below_max,highly_inconsistent,zero_activity_period,churn_probability,health_score,risk_level,company,num_contacts,quantity
155724,101,0,0,276,0,weeks_5-12,83.125,101,0,0,0,40,40,10.0,0.0,0.0,-1.0,-0.774596669241483,0.120300751879699,0.099009900990099,1,3,3,1.98019801980198,854,64,0,0,4,5,0,25,2.13333333333333,12.8,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,White Rabbit - Community Game Store (Essen),0,11
155701,101,0,0,643,0,weeks_5-12,8.75,48,0,0,0,11,11,2.75,0.0,0.0,-1.0,-0.774596669241483,0.314285714285714,0.0572916666666667,1,3,3,1.92982456140351,198,12,0,0,2,4,0,25,0.4,3.0,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Art Arminum GmbH,0,4
147398,257,0,0,113,0,weeks_5-12,72.875,113,0,0,0,29,29,7.25,0.0,0.0,-1.0,-0.774596669241483,0.0994854202401372,0.0641592920353982,1,3,3,1.97278911564626,2116,48,0,0,2,5,0,25,1.6,9.6,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Design in Holz Ingo Hofmann GmbH,0,8
153041,146,0,0,598,0,weeks_5-12,14.875,70,0,0,0,8,8,2.0,0.0,0.0,-1.0,-0.774596669241483,0.134453781512605,0.0285714285714286,1,3,3,1.9047619047619,254,8,0,0,2,3,0,26,0.266666666666667,2.66666666666667,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,HGG AccountingMachine UG (haftungsbeschränkt),1,7
155859,97,0,0,648,0,weeks_5-12,12.625,21,0,0,0,13,13,3.25,0.0,0.0,-1.0,-0.774596669241483,0.257425742574257,0.154761904761905,1,3,3,1.94029850746269,118,13,0,0,2,2,0,26,0.433333333333333,6.5,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Taxi Karaman,0,5
157461,67,1,0,676,0,weeks_3-8,10.25,20,0,0,0,8,8,2.0,0.0,0.0,-1.0,-0.774596669241483,0.195121951219512,0.1,1,3,3,1.9047619047619,51,16,0,0,2,5,0,25,0.533333333333333,3.2,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Vis à Vis - Spieß GbR,0,3
146901,271,0,0,93,0,weeks_5-12,48.75,66,0,0,0,51,51,12.75,0.0,0.0,-1.0,-0.774596669241483,0.261538461538462,0.193181818181818,1,3,3,1.98443579766537,1034,69,0,0,2,4,0,25,2.3,17.25,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Lars Bofinger Gartenanlagen,1,8
156773,79,1,0,676,0,weeks_3-8,66.0,98,0,0,0,58,58,14.5,0.0,0.0,-1.0,-0.774596669241483,0.21969696969697,0.147959183673469,1,3,3,1.98630136986301,401,71,0,0,2,4,0,25,2.36666666666667,17.75,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,MammaZentrum Bamberg,3,18
147514,254,0,0,481,0,weeks_5-12,19.875,56,0,0,0,26,26,6.5,0.0,0.0,-1.0,-0.774596669241483,0.327044025157233,0.116071428571429,1,3,3,1.96969696969697,383,32,0,0,4,6,0,25,1.06666666666667,5.33333333333333,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Hamburger Eisenbahn Dienstleister,3,11
149439,200,0,0,543,0,weeks_5-12,86.75,107,52,40,52,70,214,53.5,0.3,-0.230769230769231,-0.257142857142857,-0.632455532033676,0.61671469740634,0.5,4,0,0,0.23077083725472,2067,214,52,12,5,14,4,3,7.13333333333333,15.2857142857143,0,1,0,0,0,0,0,0,0,0,0,0,0.04,96.0,Low Risk,KFO 24 GmbH,0,12
