"company_id","company","priority_rank","priority_score","priority_label","churn_probability","risk_category","primary_risk_factor","recommended_action","value_tier","num_licenses","product","contract_type","ARR","estimated_mrr","tenure_days","days_to_renewal","renewal_urgency","activities_last_4w","activity_vs_baseline_ratio","days_since_last_activity","activity_trend","week_1_activities","week_2_activities","week_3_activities","week_4_activities","total_spent","spent_per_tenure_day","reference_date","total_activities","activities_per_week_baseline","avg_activity_last_4w","is_onboarding","is_early","is_growth","is_mature","activity_x_onboarding","activity_x_mature","baseline_ratio_x_mature","contract_duration_months","product_type","revenue_weight","license_weight","value_weight","urgency_multiplier","monthly_revenue_at_risk","annual_revenue_at_risk"
163417,"KJH Schuppen Eins OHG",24,56,"P2 - Urgent",0.7,"Critical","Negative trend - Consistent decline","Proactive check-in","Medium",11,"Attendance","2-Year",2607.77142857143,217.314285714286,126,-1,"Overdue / MTM",26,0.446564885496183,10,-1,0,3,11,12,912.72,7.24380952380952,2025-12-18,262,14.5555555555556,6.5,0,0,1,0,0,0,0,24,"attendance",0.8,0.6,0.8,1,217.314285714286,2607.77142857143
126452,"Waschboxx Deine Fahrzeugaufbereitung",25,55.68,"P2 - Urgent",0.928,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",11,"Attendance","2-Year",671.391452991453,55.9492877492877,1053,-1,"Overdue / MTM",0,0,245,0,0,0,0,0,1963.82,1.86497625830959,2025-12-18,2357,15.6685660018993,0,0,0,0,1,0,0,0,24,"attendance",0.4,0.6,0.6,1,55.9492877492877,671.391452991453
169366,"Cleverclick Maurice Pahlow Internetmarketing",26,55.56,"P2 - Urgent",0.926,"Critical","Poor onboarding - Never launched","Onboarding review + training","Micro",4,"Documentation","Monthly",1316.76923076923,109.730769230769,13,-1,"Overdue / MTM",3,0.464285714285714,10,0.258198889747161,0,3,0,0,47.55,3.65769230769231,2025-12-18,3,1.61538461538462,0.75,1,0,0,0,3,0,0,1,"documentation",0.6,0.2,0.6,1,109.730769230769,1316.76923076923
167314,"GuS Gebäude und Service GmbH",27,55.36,"P2 - Urgent",0.692,"High","Dormant - No activity 30+ days","Re-engagement campaign","Large",34,"Attendance","2-Year",0,0,41,-1,"Overdue / MTM",0,0,41,0,0,0,0,0,0,0,2025-12-18,0,0,0,0,1,0,0,0,0,0,24,"attendance",0.2,0.8,0.8,1,0,0
161631,"Kreidel & Scharff oHG",28,55.32,"P2 - Urgent",0.922,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Small",9,"Attendance","2-Year",1510.44545454545,125.870454545455,176,-1,"Overdue / MTM",0,0,175,0,0,0,0,0,738.44,4.19568181818182,2025-12-18,3,0.119318181818182,0,0,0,1,0,0,0,0,24,"attendance",0.6,0.4,0.6,1,125.870454545455,1510.44545454545
167023,"MUMA Bauservice GmbH",28,55.32,"P2 - Urgent",0.922,"Critical","Severe decline - 70% drop in usage","Health check call","Medium",11,"Attendance","Monthly",1105.83529411765,92.1529411764706,17,-1,"Overdue / MTM",3,0.202380952380952,11,0.258198889747161,0,3,0,0,52.22,3.07176470588235,2025-12-18,9,3.70588235294118,0.75,1,0,0,0,3,0,0,1,"attendance",0.6,0.6,0.6,1,92.1529411764706,1105.83529411765
163375,"Mitfässl Garten und Landschaftspflege",29,55.2,"P2 - Urgent",0.552,"High","Poor onboarding - Never launched","Onboarding review + training","Micro",3,"Documentation","Annual",8131.4,677.616666666667,18,-1,"Overdue / MTM",12,0.514285714285714,10,-0.105409255338946,0,4,8,0,406.57,22.5872222222222,2025-12-18,15,5.83333333333333,3,1,0,0,0,12,0,0,12,"documentation",1,0.2,1,1,677.616666666667,8131.4
129351,"Mediatainment publishing Verlagsgesellschaft mbH",30,54.72,"P2 - Urgent",0.912,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",10,"Attendance","Monthly",563.698723404255,46.9748936170213,940,-1,"Overdue / MTM",0,0,940,0,0,0,0,0,1471.88,1.56582978723404,2025-12-18,0,0,0,0,0,0,1,0,0,0,1,"attendance",0.4,0.6,0.6,1,46.9748936170213,563.698723404255
8689,"Naturkindergarten ""Schlaumeier""",31,54.6,"P2 - Urgent",0.91,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",13,"Attendance","2-Year",589.998070296347,49.1665058580289,1451,-1,"Overdue / MTM",0,0,55,0,0,0,0,0,2378.02,1.63888352860096,2025-12-18,4792,23.117849758787,0,0,0,0,1,0,0,0,24,"attendance",0.4,0.6,0.6,1,49.1665058580289,589.998070296347
7408,"Klaußner und Rott Gbr",32,54.48,"P2 - Urgent",0.908,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",10,"Documentation","Annual",964.705882352941,80.3921568627451,1530,-1,"Overdue / MTM",0,0,1530,0,0,0,0,0,4100,2.6797385620915,2025-12-18,0,0,0,0,0,0,1,0,0,0,12,"documentation",0.4,0.6,0.6,1,80.3921568627451,964.705882352941
142502,"VfL Handball Gummersbach GmbH",33,54.4,"P2 - Urgent",0.544,"High","Dormant - No activity 30+ days","Re-engagement campaign","Enterprise",50,"Documentation","Annual",0,0,554,-1,"Overdue / MTM",0,0,420,0,0,0,0,0,0,0,2025-12-18,420,5.30685920577617,0,0,0,0,1,0,0,0,12,"documentation",0.2,1,1,1,0,0
147675,"Adam On Time Logistic GmbH",34,54.24,"P2 - Urgent",0.678,"High","Severe decline - 70% drop in usage","Health check call","Large",31,"Attendance","Annual",2549.46226415094,212.455188679245,424,-1,"Overdue / MTM",16,0.16767177459219,10,-1,0,2,6,8,3002.7,7.08183962264151,2025-12-18,1445,23.8561320754717,4,0,0,0,1,0,16,0.16767177459219,12,"attendance",0.8,0.8,0.8,1,212.455188679245,2549.46226415094
145161,"Impuls Fitness & Gesundheitszentrum",35,54.12,"P2 - Urgent",0.902,"Critical","Severe decline - 70% drop in usage","Health check call","Medium",10,"Attendance","Monthly",455.385185185185,37.9487654320988,486,-1,"Overdue / MTM",1,0.0220548193864585,13,0.258198889747161,0,1,0,0,614.77,1.26495884773663,2025-12-18,787,11.3353909465021,0.25,0,0,0,1,0,1,0.0220548193864585,1,"attendance",0.2,0.6,0.6,1,37.9487654320988,455.385185185185
167835,"devZWO GmbH",36,53.92,"P2 - Urgent",0.674,"High","Severe decline - 70% drop in usage","Health check call","Micro",1,"Project","2-Year",2122.09411764706,176.841176470588,17,-1,"Overdue / MTM",1,0.00758928571428571,23,-0.774596669241483,0,0,0,1,100.21,5.89470588235294,2025-12-18,80,32.9411764705882,0.25,1,0,0,0,1,0,0,24,"project",0.8,0.2,0.8,1,176.841176470588,2122.09411764706
147255,"HKB Brandschutz GmbH",37,53.88,"P2 - Urgent",0.898,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",10,"Documentation","2-Year",1863.28163265306,155.273469387755,441,-1,"Overdue / MTM",0,0,79,0,0,0,0,0,2282.52,5.17578231292517,2025-12-18,1158,18.3809523809524,0,0,0,0,1,0,0,0,24,"documentation",0.6,0.6,0.6,1,155.273469387755,1863.28163265306
164407,"Konege GmbH & Co. KG",38,53.8,"P2 - Urgent",0.538,"High","Dormant - No activity 30+ days","Re-engagement campaign","Micro",4,"Attendance","2-Year",7846.97142857143,653.914285714286,14,-1,"Overdue / MTM",0,0,105,0,0,0,0,0,305.16,21.7971428571429,2025-12-18,78,39,0,1,0,0,0,0,0,0,24,"attendance",1,0.2,1,1,653.914285714286,7846.97142857143
158985,"SmartEm GmbH",39,53.64,"P2 - Urgent",0.894,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Small",7,"Attendance","2-Year",1126.16470588235,93.8470588235294,204,-1,"Overdue / MTM",0,0,216,0,0,0,0,0,638.16,3.12823529411765,2025-12-18,6,0.205882352941176,0,0,0,0,1,0,0,0,24,"attendance",0.6,0.4,0.6,1,93.8470588235294,1126.16470588235
167260,"Sensation Ahead GmbH",39,53.64,"P2 - Urgent",0.894,"Critical","Severe decline - 70% drop in usage","Health check call","Micro",2,"Attendance","Annual",1170.48,97.54,15,-1,"Overdue / MTM",26,0.224654377880184,10,-1,0,6,9,11,48.77,3.25133333333333,2025-12-18,62,28.9333333333333,6.5,1,0,0,0,26,0,0,12,"attendance",0.6,0.2,0.6,1,97.54,1170.48
168685,"Pferdepraxis Markendorf",40,53.52,"P2 - Urgent",0.892,"Critical","Poor onboarding - Never launched","Onboarding review + training","Micro",2,"Attendance","Annual",1755.72,146.31,10,-1,"Overdue / MTM",9,0.357142857142857,10,-0.4,0,2,6,1,48.77,4.877,2025-12-18,9,6.3,2.25,1,0,0,0,9,0,0,12,"attendance",0.6,0.2,0.6,1,146.31,1755.72
166701,"Arbeitssicherheit Neubert",41,53.44,"P2 - Urgent",0.668,"High","Dormant - No activity 30+ days","Re-engagement campaign","Micro",3,"Project","2-Year",3043.90588235294,253.658823529412,51,-1,"Overdue / MTM",0,0,51,0,0,0,0,0,431.22,8.45529411764706,2025-12-18,0,0,0,0,1,0,0,0,0,0,24,"project",0.8,0.2,0.8,1,253.658823529412,3043.90588235294
161936,"Taxi Binzel GmbH",42,53.28,"P2 - Urgent",0.666,"High","Negative trend - Consistent decline","Proactive check-in","Large",20,"Attendance","Monthly",1088.71337579618,90.7261146496815,157,-1,"Overdue / MTM",110,0.535404265873016,10,-0.948683298050514,0,18,46,46,474.8,3.02420382165605,2025-12-18,1152,51.3630573248408,27.5,0,0,1,0,0,0,0,1,"attendance",0.6,0.8,0.8,1,90.7261146496815,1088.71337579618
169278,"Tierarztpraxis Reiners",42,53.28,"P2 - Urgent",0.666,"High","Poor onboarding - Never launched","Onboarding review + training","Micro",2,"Attendance","2-Year",3158.48571428571,263.207142857143,14,-1,"Overdue / MTM",1,0.5,14,-0.258198889747161,0,0,1,0,122.83,8.77357142857143,2025-12-18,1,0.5,0.25,1,0,0,0,1,0,0,24,"attendance",0.8,0.2,0.8,1,263.207142857143,3158.48571428571
154800,"Hafenluke",43,53.12,"P2 - Urgent",0.664,"High","Severe decline - 70% drop in usage","Health check call","Medium",10,"Attendance","2-Year",2014.39175257732,167.865979381443,291,-1,"Overdue / MTM",4,0.0571821575948123,13,-0.948683298050514,0,1,1,2,1628.3,5.59553264604811,2025-12-18,727,17.4879725085911,1,0,0,0,1,0,4,0.0571821575948123,24,"attendance",0.8,0.6,0.8,1,167.865979381443,2014.39175257732
150317,"BSI Merch GmbH",44,53.04,"P2 - Urgent",0.884,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",11,"Attendance","Annual",613.082080924856,51.0901734104046,346,-1,"Overdue / MTM",0,0,217,0,0,0,0,0,589.24,1.70300578034682,2025-12-18,580,11.7341040462428,0,0,0,0,1,0,0,0,12,"attendance",0.4,0.6,0.6,1,51.0901734104046,613.082080924856
168080,"cartus:zahnmedizin",45,52.56,"P2 - Urgent",0.876,"Critical","Multiple factors","Onboarding review + training","Small",9,"Attendance","Monthly",1098.77142857143,91.5642857142857,14,-1,"Overdue / MTM",74,0.493333333333333,10,-0.4,0,22,49,3,42.73,3.05214285714286,2025-12-18,75,37.5,18.5,1,0,0,0,74,0,0,1,"attendance",0.6,0.4,0.6,1,91.5642857142857,1098.77142857143
168895,"Ranaboot",46,52.48,"P2 - Urgent",0.656,"High","Severe decline - 70% drop in usage","Health check call","Micro",1,"Project","2-Year",4791.3,399.275,12,-1,"Overdue / MTM",17,0.0200708382526564,10,-0.105409255338946,0,5,12,0,159.71,13.3091666666667,2025-12-18,363,211.75,4.25,1,0,0,0,17,0,0,24,"project",0.8,0.2,0.8,1,399.275,4791.3
154742,"Paul Kröber Yachtservice",47,52.32,"P2 - Urgent",0.872,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Small",7,"Documentation","Annual",1149.93939393939,95.8282828282828,297,-1,"Overdue / MTM",0,0,133,0,0,0,0,0,948.7,3.19427609427609,2025-12-18,1165,27.4579124579125,0,0,0,0,1,0,0,0,12,"documentation",0.6,0.4,0.6,1,95.8282828282828,1149.93939393939
145659,"Probau Projektsteuerungs- und Bauleitungs GmbH",48,52.2,"P2 - Urgent",0.87,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",15,"Attendance","Annual",1063.11219512195,88.5926829268293,492,-1,"Overdue / MTM",0,0,146,0,0,0,0,0,1452.92,2.95308943089431,2025-12-18,1419,20.1890243902439,0,0,0,0,1,0,0,0,12,"attendance",0.6,0.6,0.6,1,88.5926829268293,1063.11219512195
